keyword;minimal_abbreviation;keyword_type
NO-PREFETCH;;Other
NO-ROW-MARKERS;;Other
NO-SCROLLBAR-VERTICAL;;Other
NO-SEPARATE-CONNECTION;;Other
NO-SEPARATORS;;Other
NO-TAB-STOP;;Other
NOT-ACTIVE;;Other
NO-UNDERLINE;;Other
NO-UNDO;;Other
NO-WAIT;;Other
NO-WORD-WRAP;;Other
NULL;;Other
NUM-COPIES;;Other
NUMERIC;;Other
OCTET-LENGTH;;Other
OF;;Other
OFF;;Other
OK;;Other
OK-CANCEL;;Other
OLD;;Other
OPTION;;Other
OPTIONS-FILE;;Other
ORDERED-JOIN;;Other
OS-DIR;;Other
OVERRIDE;;Other
PACKAGE-PRIVATE;;Other
PACKAGE-PROTECTED;;Other
PAGED;;Other
PAGE-WIDTH;;Other
PARTIAL-KEY;;Other
PASCAL;;Other
PIXELS;;Other
PORTRAIT;;Other
PRECISION;;Other
PREPROCESS;;Other
PRESELECT;;Other
PREV;;Other
PRINTER;;Other
PRIVATE;;Other
PRIVILEGES;;Other
PROCEDURE-CALL-TYPE;;Other
PROC-TEXT;;Other
PROC-TEXT-BUFFER;;Other
PROFILER;;Other
PROMPT;;Other
PROTECTED;;Other
PUBLIC;;Other
PUTBYTE;;Other
QUERY-TUNING;;Other
QUESTION;;Other
RCODE-INFORMATION;;Other
READ-AVAILABLE;;Other
READ-EXACT-NUM;;Other
REAL;;Other
REFERENCE-ONLY;;Other
REPOSITION-MODE;;Other
RETAIN;;Other
RETRY-CANCEL;;Other
RETURNS;;Other
RETURN-TO-START-DIR;;Other
REVERSE-FROM;;Other
REVERT;;Other
REVOKE;;Other
RIGHT-ALIGNED;;Other
ROW-OF;;Other
RULE;;Other
RUN-PROCEDURE;;Other
SAVE-AS;;Other
SAX-COMPLETE;;Other
SAX-PARSER-ERROR;;Other
SAX-RUNNING;;Other
SAX-UNINITIALIZED;;Other
SAX-WRITE-BEGIN;;Other
SAX-WRITE-COMPLETE;;Other
SAX-WRITE-CONTENT;;Other
SAX-WRITE-ELEMENT;;Other
SAX-WRITE-ERROR;;Other
SAX-WRITE-IDLE;;Other
SAX-WRITE-TAG;;Other
SCHEMA;;Other
SCREEN-IO;;Other
SCROLL-DELTA;;Other
SCROLLED-ROW-POSITION;;Other
SCROLLING;;Other
SCROLL-OFFSET;;Other
SEARCH-SELF;;Other
SEARCH-TARGER;;Other
SECTION;;Other
SECURITY-POLICY;;Other
SELECT;;Other
SELECTION;;Other
SELF;;Other
SEND-SQL-STATEMENT;;Other
SEPARATE-CONNECTION;;Other
SERIALIZABLE;;Other
SESSION;;Other
SET-ATTR-CALL-TYPE;;Other
SET-CONTENTS;;Other
SET-CURRENT-VALUE;;Other
SET-EVENT-MANAGER-OPTION;;Other
SET-OPTION;;Other
SHARED;;Other
SHARE-LOCK;;Other
SIGNATURE;;Other
SILENT;;Other
SIMPLE;;Other
SINGLE;;Other
SIZE;;Other
SIZE-CHARS;;Other
SIZE-PIXELS;;Other
SKIP;;Other
SMALLINT;;Other
SOME;;Other
SOURCE;;Other
SOURCE-PROCEDURE;;Other
SPACE;;Other
SQL;;Other
START;;Other
START-MOVE;;Other
START-RESIZE;;Other
START-ROW-RESIZE;;Other
STATIC;;Other
STDCALL;;Other
STOP-AFTER;;Other
STREAM-HANDLE;;Other
STREAM-IO;;Other
STRING-XREF;;Other
SUB-AVERAGE;;Other
SUB-COUNT;;Other
SUB-MAXIMUM;;Other
SUB-MINIMUM;;Other
SUB-TOTAL;;Other
SUM;;Other
TABLE-SCAN;;Other
TARGET;;Other
TARGET-PROCEDURE;;Other
TERM;;Other
TEXT-CURSOR;;Other
TEXT-SEG-GROW;;Other
THIS-PROCEDURE;;Other
THRU;;Other
TOPIC;;Other
TOTAL;;Other
TRAILING;;Other
TRANS;;Other
TRUE;;Other
UNBUFFERED;;Other
UNFORMATTED;;Other
UNION;;Other
UNIQUE;;Other
UNLESS-HIDDEN;;Other
USE-DICT-EXPS;;Other
USE-FILENAME;;Other
USE-INDEX;;Other
USER;;Other
USE-REVVIDEO;;Other
USE-TEXT;;Other
USE-UNDERLINE;;Other
USE-WIDGET-POOL;;Other
V6FRAME;;Other
VALUE-CHANGED;;Other
VALUES;;Other
VERBOSE;;Other
VERTICAL;;Other
VOID;;Other
WAIT;;Other
WEB-CONTEXT;;Other
WHEN;;Other
WHERE;;Other
WHILE;;Other
WINDOW-MAXIMIZED;;Other
WINDOW-MINIMIZED;;Other
WINDOW-NAME;;Other
WINDOW-NORMAL;;Other
WITH;;Other
WORD-INDEX;;Other
XCODE;;Other
X-OF;;Other
XREF;;Other
XREF-XML;;Other
YES;;Other
YES-NO;;Other
YES-NO-CANCEL;;Other
Y-OF;;Other
